Composite_Key,Matchday,Date,Comp,Season,Round,Opponent,Venue,Result,GF,GA,GD,xG,xGA,xGD,xGD - GD,Vela_Minutes_Played,Did_Vela_Play,GF - xGF,GA - xGA
28-2021,28,10/3/21,MLS,2021,Regular Season,LA Galaxy,Away,D,1,1,0,1.3,1.6,-0.3,-0.3,0,0,-0.3,-0.6
29-2021,29,10/16/21,MLS,2021,Regular Season,SJ Earthquakes,Home,W,3,1,2,2.8,2.4,0.4,-1.6,0,0,0.2,-1.4
30-2021,30,10/20/21,MLS,2021,Regular Season,FC Dallas,Away,W,3,2,1,1.8,2,-0.2,-1.2,0,0,1.2,0
31-2021,31,10/23/21,MLS,2021,Regular Season,Minnesota Utd,Away,D,1,1,0,0.6,2.2,-1.6,-1.6,0,0,0.4,-1.2
32-2021,32,10/26/21,MLS,2021,Regular Season,Seattle Sounders,Home,W,3,0,3,1.1,1.7,-0.6,-3.6,12,1,1.9,-1.7
33-2021,33,11/2/21,MLS,2021,Regular Season,Vancouver W'caps,Home,D,1,1,0,3.1,0.8,2.3,2.3,18,1,-2.1,0.2
34-2021,34,11/7/21,MLS,2021,Regular Season,Colorado Rapids,Away,L,2,5,-3,1.8,3.1,-1.3,1.7,59,1,0.2,1.9
1-2022,1,2/26/22,MLS,2022,Regular Season,Colorado Rapids,Home,W,3,0,3,2.4,0.4,2,-1,86,1,0.6,-0.4
2-2022,2,3/6/22,MLS,2022,Regular Season,Portland Timbers,Home,D,1,1,0,2.2,0.6,1.6,1.6,45,1,-1.2,0.4
3-2022,3,3/12/22,MLS,2022,Regular Season,Inter Miami,Away,W,2,0,2,0.5,0.4,0.1,-1.9,70,1,1.5,-0.4
4-2022,4,3/20/22,MLS,2022,Regular Season,Vancouver W'caps,Home,W,3,1,2,1.7,1.1,0.6,-1.4,81,1,1.3,-0.1
5-2022,5,4/2/22,MLS,2022,Regular Season,Orlando City,Away,W,4,2,2,2.7,1.4,1.3,-0.7,74,1,1.3,0.6
6-2022,6,4/9/22,MLS,2022,Regular Season,LA Galaxy,Away,L,1,2,-1,2,1,1,2,90,1,-1,1
7-2022,7,4/17/22,MLS,2022,Regular Season,Sporting KC,Home,W,3,1,2,2,1,1,-1,90,1,1,0
8-2022,8,4/24/22,MLS,2022,Regular Season,FC Cincinnati,Away,W,2,1,1,1.8,1.5,0.3,-0.7,87,1,0.2,-0.5
9-2022,9,5/1/22,MLS,2022,Regular Season,Minnesota Utd,Home,W,2,0,2,2.3,0.7,1.6,-0.4,88,1,-0.3,-0.7
10-2022,10,5/7/22,MLS,2022,Regular Season,Philadelphia Union,Home,D,2,2,0,1.4,1.1,0.3,0.3,90,1,0.6,0.9
11-2022,11,5/14/22,MLS,2022,Regular Season,Colorado Rapids,Away,L,0,2,-2,1.3,3.1,-1.8,0.2,90,1,-1.3,-1.1
12-2022,12,5/18/22,MLS,2022,Regular Season,Austin,Home,L,1,2,-1,1.9,0.7,1.2,2.2,90,1,-0.9,1.3
13-2022,13,5/21/22,MLS,2022,Regular Season,Columbus Crew,Away,W,2,0,2,1.8,0.9,0.9,-1.1,45,1,0.2,-0.9
14-2022,14,5/28/22,MLS,2022,Regular Season,SJ Earthquakes,Home,W,3,2,1,2.1,1.9,0.2,-0.8,0,0,0.9,0.1
15-2022,15,6/18/22,MLS,2022,Regular Season,Seattle Sounders,Away,D,1,1,0,1.3,1.2,0.1,0.1,45,1,-0.3,-0.2
16-2022,16,6/26/22,MLS,2022,Regular Season,NY Red Bulls,Home,W,2,0,2,1.7,0.6,1.1,-0.9,90,1,0.3,-0.6
17-2022,17,6/29/22,MLS,2022,Regular Season,FC Dallas,Home,W,3,1,2,1.9,0.6,1.3,-0.7,90,1,1.1,0.4
18-2022,18,7/2/22,MLS,2022,Regular Season,Vancouver W'caps,Away,L,0,1,-1,0.4,0.9,-0.5,0.5,0,0,-0.4,0.1
19-2022,19,7/8/22,MLS,2022,Regular Season,LA Galaxy,Home,W,3,2,1,1.5,1.7,-0.2,-1.2,90,1,1.5,0.3
20-2022,20,7/17/22,MLS,2022,Regular Season,Nashville SC,Away,W,2,1,1,1.6,2,-0.4,-1.4,90,1,0.4,-1
21-2022,21,7/23/22,MLS,2022,Regular Season,Sporting KC,Away,W,2,0,2,1,0.5,0.5,-1.5,78,1,1,-0.5
22-2022,22,7/29/22,MLS,2022,Regular Season,Seattle Sounders,Home,W,2,1,1,1.6,0.9,0.7,-0.3,90,1,0.4,0.1
